process_id,name,go_id,category,description
BP001,Apoptotic Process,GO:0006915,Cell death,Programmed cell death
BP002,Cell Proliferation,GO:0008283,Cell growth,Increase in cell number
BP003,Immune Response,GO:0006955,Immune,Defense against pathogens
BP004,T Cell Activation,GO:0042110,Immune,Activation of T lymphocytes
BP005,Inflammatory Response,GO:0006954,Immune,Response to tissue damage
BP006,DNA Repair,GO:0006281,DNA maintenance,Restoration of DNA structure
BP007,Signal Transduction,GO:0007165,Signaling,Cellular communication
BP008,Glucose Homeostasis,GO:0042593,Metabolism,Blood sugar regulation
BP009,Amyloid-beta Clearance,GO:0097242,Neurological,Removal of amyloid plaques
BP010,Neuroinflammation,GO:0150076,Neurological,Inflammation in nervous system
BP011,Angiogenesis,GO:0001525,Development,Blood vessel formation
BP012,Protein Phosphorylation,GO:0006468,Signaling,Addition of phosphate groups
